Lead_ID,Lead_Score,Priority_Bucket,Conversion_Probability
282,19.07,Cold,0.1907
283,84.67,Hot,0.8467
284,41.48,Warm,0.4148
285,99.0,Hot,0.99
286,84.56,Hot,0.8456
287,16.3,Cold,0.163
288,63.5,Warm,0.635
289,70.38,Hot,0.7038
290,16.09,Cold,0.1609
291,65.32,Warm,0.6532
292,17.9,Cold,0.179
293,35.31,Cold,0.3531
294,6.42,Cold,0.0642
295,85.21,Hot,0.8521
296,75.41,Hot,0.7541
297,75.3,Hot,0.753
298,15.27,Cold,0.1527
299,80.37,Hot,0.8037
300,7.43,Cold,0.0743
301,15.62,Cold,0.1562
302,36.15,Cold,0.3615
303,38.88,Cold,0.3888
304,3.64,Cold,0.0364
305,82.76,Hot,0.8276
306,21.45,Cold,0.2145
307,17.3,Cold,0.173
308,2.91,Cold,0.0291
309,74.1,Hot,0.741
310,31.36,Cold,0.3136
311,17.76,Cold,0.1776
312,14.99,Cold,0.1499
313,86.35,Hot,0.8635
314,84.98,Hot,0.8498
315,30.71,Cold,0.3071
316,22.62,Cold,0.2262
317,79.27,Hot,0.7927
318,20.66,Cold,0.2066
319,16.7,Cold,0.167
320,16.45,Cold,0.1645
321,92.42,Hot,0.9242
322,63.57,Warm,0.6357
323,12.36,Cold,0.1236
324,37.38,Cold,0.3738
325,14.91,Cold,0.1491
326,80.47,Hot,0.8047
327,96.06,Hot,0.9606
328,17.14,Cold,0.1714
329,5.79,Cold,0.0579
330,14.87,Cold,0.1487
331,66.37,Warm,0.6637
332,18.11,Cold,0.1811
333,18.32,Cold,0.1832
334,40.31,Warm,0.4031
335,54.21,Warm,0.5421
336,42.23,Warm,0.4223
337,34.14,Cold,0.3414
338,11.67,Cold,0.1167
339,36.79,Cold,0.3679
340,74.61,Hot,0.7461
341,58.37,Warm,0.5837
342,7.81,Cold,0.0781
343,83.27,Hot,0.8327
344,57.03,Warm,0.5703
345,31.04,Cold,0.3104
346,15.8,Cold,0.158
347,92.1,Hot,0.921
348,20.66,Cold,0.2066
349,38.56,Cold,0.3856
350,41.37,Warm,0.4137
351,42.37,Warm,0.4237
352,18.18,Cold,0.1818
353,4.4,Cold,0.044
354,43.1,Warm,0.431
355,16.67,Cold,0.1667
356,47.55,Warm,0.4755
357,21.25,Cold,0.2125
358,7.22,Cold,0.0722
359,14.53,Cold,0.1453
360,57.24,Warm,0.5724
361,14.38,Cold,0.1438
362,10.32,Cold,0.1032
363,16.45,Cold,0.1645
364,70.38,Hot,0.7038
365,7.12,Cold,0.0712
366,77.91,Hot,0.7791
367,42.04,Warm,0.4204
368,73.86,Hot,0.7386
369,68.1,Warm,0.681
370,18.77,Cold,0.1877
371,20.63,Cold,0.2063
372,10.95,Cold,0.1095
373,70.95,Hot,0.7095
374,14.38,Cold,0.1438
375,38.34,Cold,0.3834
376,6.52,Cold,0.0652
377,71.6,Hot,0.716
378,89.14,Hot,0.8914
379,16.92,Cold,0.1692
380,31.37,Cold,0.3137
381,62.76,Warm,0.6276
382,62.3,Warm,0.623
383,6.78,Cold,0.0678
384,30.34,Cold,0.3034
385,24.99,Cold,0.2499
386,18.32,Cold,0.1832
387,16.09,Cold,0.1609
388,71.73,Hot,0.7173
389,72.82,Hot,0.7282
390,18.04,Cold,0.1804
391,31.76,Cold,0.3176
392,75.2,Hot,0.752
393,20.66,Cold,0.2066
394,89.63,Hot,0.8963
395,85.34,Hot,0.8534
396,45.25,Warm,0.4525
397,73.14,Hot,0.7314
398,82.96,Hot,0.8296
399,68.02,Warm,0.6802
400,70.58,Hot,0.7058
401,95.72,Hot,0.9572
402,37.61,Cold,0.3761
403,76.63,Hot,0.7663
404,14.31,Cold,0.1431
405,72.82,Hot,0.7282
406,70.33,Hot,0.7033
407,16.53,Cold,0.1653
408,75.76,Hot,0.7576
409,80.62,Hot,0.8062
410,61.0,Warm,0.61
411,80.32,Hot,0.8032
412,66.94,Warm,0.6694
413,10.84,Cold,0.1084
414,13.19,Cold,0.1319
415,70.46,Hot,0.7046
416,18.99,Cold,0.1899
417,15.95,Cold,0.1595
418,74.25,Hot,0.7425
419,71.9,Hot,0.719
420,5.47,Cold,0.0547
421,30.79,Cold,0.3079
422,35.51,Cold,0.3551
423,71.73,Hot,0.7173
424,65.09,Warm,0.6509
425,44.68,Warm,0.4468
426,30.79,Cold,0.3079
427,13.84,Cold,0.1384
428,92.01,Hot,0.9201
429,75.41,Hot,0.7541
430,79.94,Hot,0.7994
431,4.45,Cold,0.0445
432,34.14,Cold,0.3414
433,74.45,Hot,0.7445
434,18.08,Cold,0.1808
435,18.76,Cold,0.1876
436,17.3,Cold,0.173
437,18.25,Cold,0.1825
438,29.52,Cold,0.2952
439,26.04,Cold,0.2604
440,13.28,Cold,0.1328
441,60.15,Warm,0.6015
442,12.03,Cold,0.1203
443,21.15,Cold,0.2115
444,29.85,Cold,0.2985
445,88.06,Hot,0.8806
446,67.73,Warm,0.6773
447,14.22,Cold,0.1422
448,36.06,Cold,0.3606
449,74.2,Hot,0.742
450,66.33,Warm,0.6633
451,3.01,Cold,0.0301
452,76.82,Hot,0.7682
453,75.28,Hot,0.7528
454,82.43,Hot,0.8243
455,14.04,Cold,0.1404
456,88.26,Hot,0.8826
457,94.24,Hot,0.9424
458,71.6,Hot,0.716
459,65.78,Warm,0.6578
460,10.13,Cold,0.1013
461,9.94,Cold,0.0994
462,72.03,Hot,0.7203
463,78.96,Hot,0.7896
464,14.2,Cold,0.142
465,85.34,Hot,0.8534
466,63.56,Warm,0.6356
467,41.46,Warm,0.4146
468,4.16,Cold,0.0416
469,71.42,Hot,0.7142
470,92.1,Hot,0.921
471,43.26,Warm,0.4326
472,18.75,Cold,0.1875
473,63.59,Warm,0.6359
474,45.61,Warm,0.4561
475,77.7,Hot,0.777
476,9.94,Cold,0.0994
477,72.62,Hot,0.7262
478,86.51,Hot,0.8651
479,34.14,Cold,0.3414
480,40.99,Warm,0.4099
481,83.65,Hot,0.8365
482,24.41,Cold,0.2441
483,79.09,Hot,0.7909
484,19.37,Cold,0.1937
485,18.11,Cold,0.1811
486,35.48,Cold,0.3548
487,90.61,Hot,0.9061
488,19.04,Cold,0.1904
489,18.1,Cold,0.181
490,80.16,Hot,0.8016
491,16.37,Cold,0.1637
492,86.19,Hot,0.8619
493,73.7,Hot,0.737
494,47.85,Warm,0.4785
495,87.17,Hot,0.8717
496,66.63,Warm,0.6663
497,15.92,Cold,0.1592
498,69.97,Warm,0.6997
499,17.58,Cold,0.1758
500,17.76,Cold,0.1776
501,18.52,Cold,0.1852
502,71.68,Hot,0.7168
503,98.6,Hot,0.986
504,37.68,Cold,0.3768
505,73.42,Hot,0.7342
506,99.37,Hot,0.9937
507,31.19,Cold,0.3119
508,59.02,Warm,0.5902
509,42.2,Warm,0.422
510,18.28,Cold,0.1828
511,78.42,Hot,0.7842
512,16.39,Cold,0.1639
513,82.43,Hot,0.8243
514,33.65,Cold,0.3365
515,69.86,Warm,0.6986
516,96.8,Hot,0.968
517,11.82,Cold,0.1182
518,18.83,Cold,0.1883
519,3.01,Cold,0.0301
520,70.72,Hot,0.7072
521,7.59,Cold,0.0759
522,3.9,Cold,0.039
523,13.28,Cold,0.1328
524,36.25,Cold,0.3625
525,69.86,Warm,0.6986
526,36.95,Cold,0.3695
527,13.98,Cold,0.1398
528,68.44,Warm,0.6844
529,10.33,Cold,0.1033
530,13.05,Cold,0.1305
531,16.63,Cold,0.1663
532,16.98,Cold,0.1698
533,80.84,Hot,0.8084
534,33.49,Cold,0.3349
535,16.44,Cold,0.1644
536,8.9,Cold,0.089
537,41.59,Warm,0.4159
538,60.5,Warm,0.605
539,72.83,Hot,0.7283
540,83.02,Hot,0.8302
541,17.22,Cold,0.1722
542,70.38,Hot,0.7038
543,78.47,Hot,0.7847
544,89.68,Hot,0.8968
545,84.12,Hot,0.8412
546,72.49,Hot,0.7249
547,16.15,Cold,0.1615
548,74.78,Hot,0.7478
549,12.13,Cold,0.1213
550,55.31,Warm,0.5531
551,20.49,Cold,0.2049
552,42.63,Warm,0.4263
553,18.1,Cold,0.181
554,50.61,Warm,0.5061
555,66.51,Warm,0.6651
556,83.43,Hot,0.8343
557,17.59,Cold,0.1759
558,7.44,Cold,0.0744
559,62.54,Warm,0.6254
560,77.12,Hot,0.7712
561,7.31,Cold,0.0731
562,15.23,Cold,0.1523
563,14.42,Cold,0.1442
564,92.42,Hot,0.9242
565,16.65,Cold,0.1665
566,79.93,Hot,0.7993
567,84.22,Hot,0.8422
568,5.78,Cold,0.0578
569,6.65,Cold,0.0665
570,88.61,Hot,0.8861
571,17.38,Cold,0.1738
572,77.49,Hot,0.7749
573,18.26,Cold,0.1826
574,16.72,Cold,0.1672
575,27.98,Cold,0.2798
576,68.17,Warm,0.6817
577,69.91,Warm,0.6991
578,99.35,Hot,0.9935
579,23.33,Cold,0.2333
580,87.05,Hot,0.8705
581,12.83,Cold,0.1283
582,22.06,Cold,0.2206
583,55.97,Warm,0.5597
584,14.31,Cold,0.1431
585,70.65,Hot,0.7065
586,35.79,Cold,0.3579
587,92.42,Hot,0.9242
588,14.0,Cold,0.14
589,41.07,Warm,0.4107
590,14.36,Cold,0.1436
591,15.8,Cold,0.158
592,17.6,Cold,0.176
593,42.19,Warm,0.4219
594,86.75,Hot,0.8675
595,95.95,Hot,0.9595
596,82.48,Hot,0.8248
597,8.54,Cold,0.0854
598,58.72,Warm,0.5872
599,70.09,Hot,0.7009
600,13.42,Cold,0.1342
601,78.06,Hot,0.7806
602,8.87,Cold,0.0887
603,18.49,Cold,0.1849
604,91.41,Hot,0.9141
605,72.82,Hot,0.7282
606,70.55,Hot,0.7055
607,30.25,Cold,0.3025
608,98.6,Hot,0.986
609,17.14,Cold,0.1714
610,35.82,Cold,0.3582
611,19.81,Cold,0.1981
612,84.38,Hot,0.8438
613,13.45,Cold,0.1345
614,70.58,Hot,0.7058
615,15.1,Cold,0.151
616,70.51,Hot,0.7051
617,42.19,Warm,0.4219
618,96.23,Hot,0.9623
619,17.24,Cold,0.1724
620,81.12,Hot,0.8112
621,8.5,Cold,0.085
622,64.93,Warm,0.6493
623,16.06,Cold,0.1606
624,6.25,Cold,0.0625
625,17.39,Cold,0.1739
626,16.25,Cold,0.1625
627,88.72,Hot,0.8872
628,68.53,Warm,0.6853
629,66.45,Warm,0.6645
630,3.48,Cold,0.0348
631,6.81,Cold,0.0681
632,15.89,Cold,0.1589
633,87.86,Hot,0.8786
634,88.01,Hot,0.8801
635,7.37,Cold,0.0737
636,97.16,Hot,0.9716
637,30.57,Cold,0.3057
638,25.04,Cold,0.2504
639,92.1,Hot,0.921
640,17.14,Cold,0.1714
641,80.53,Hot,0.8053
642,18.28,Cold,0.1828
643,82.76,Hot,0.8276
644,93.71,Hot,0.9371
645,87.17,Hot,0.8717
646,6.47,Cold,0.0647
647,80.64,Hot,0.8064
648,3.06,Cold,0.0306
649,94.57,Hot,0.9457
650,85.53,Hot,0.8553
651,57.03,Warm,0.5703
652,79.94,Hot,0.7994
653,79.79,Hot,0.7979
654,32.54,Cold,0.3254
655,15.24,Cold,0.1524
656,72.82,Hot,0.7282
657,96.21,Hot,0.9621
658,66.07,Warm,0.6607
659,41.5,Warm,0.415
660,72.82,Hot,0.7282
661,60.75,Warm,0.6075
662,70.55,Hot,0.7055
663,43.44,Warm,0.4344
664,67.96,Warm,0.6796
665,67.66,Warm,0.6766
666,78.86,Hot,0.7886
667,86.59,Hot,0.8659
668,10.0,Cold,0.1
669,16.03,Cold,0.1603
670,26.91,Cold,0.2691
671,16.39,Cold,0.1639
672,73.7,Hot,0.737
673,8.44,Cold,0.0844
674,80.43,Hot,0.8043
675,25.41,Cold,0.2541
676,18.04,Cold,0.1804
677,33.86,Cold,0.3386
678,27.87,Cold,0.2787
679,23.64,Cold,0.2364
680,7.31,Cold,0.0731
681,72.32,Hot,0.7232
682,16.45,Cold,0.1645
683,87.14,Hot,0.8714
684,87.52,Hot,0.8752
685,91.76,Hot,0.9176
686,3.71,Cold,0.0371
687,35.48,Cold,0.3548
688,77.05,Hot,0.7705
689,17.76,Cold,0.1776
690,9.46,Cold,0.0946
691,39.38,Cold,0.3938
692,17.76,Cold,0.1776
693,69.15,Warm,0.6915
694,73.51,Hot,0.7351
695,69.21,Warm,0.6921
696,19.62,Cold,0.1962
697,16.01,Cold,0.1601
698,20.11,Cold,0.2011
699,38.72,Cold,0.3872
700,51.31,Warm,0.5131
701,71.95,Hot,0.7195
702,73.5,Hot,0.735
703,35.76,Cold,0.3576
704,93.6,Hot,0.936
705,16.45,Cold,0.1645
706,15.03,Cold,0.1503
707,12.61,Cold,0.1261
708,79.2,Hot,0.792
709,16.39,Cold,0.1639
710,60.53,Warm,0.6053
711,76.56,Hot,0.7656
712,44.21,Warm,0.4421
713,93.21,Hot,0.9321
714,35.46,Cold,0.3546
715,84.89,Hot,0.8489
716,18.19,Cold,0.1819
717,7.59,Cold,0.0759
718,47.94,Warm,0.4794
719,74.68,Hot,0.7468
720,54.84,Warm,0.5484
721,30.97,Cold,0.3097
722,75.39,Hot,0.7539
723,87.28,Hot,0.8728
724,75.34,Hot,0.7534
725,82.66,Hot,0.8266
726,11.94,Cold,0.1194
727,92.05,Hot,0.9205
728,72.17,Hot,0.7217
729,66.95,Warm,0.6695
730,95.27,Hot,0.9527
731,78.86,Hot,0.7886
732,66.43,Warm,0.6643
733,95.13,Hot,0.9513
734,13.51,Cold,0.1351
735,85.33,Hot,0.8533
736,5.47,Cold,0.0547
737,60.5,Warm,0.605
738,12.36,Cold,0.1236
739,69.97,Warm,0.6997
740,7.31,Cold,0.0731
741,29.14,Cold,0.2914
742,48.63,Warm,0.4863
743,66.48,Warm,0.6648
744,16.45,Cold,0.1645
745,57.12,Warm,0.5712
746,89.26,Hot,0.8926
747,33.11,Cold,0.3311
748,35.87,Cold,0.3587
749,42.37,Warm,0.4237
750,69.86,Warm,0.6986
751,34.14,Cold,0.3414
752,68.84,Warm,0.6884
753,39.83,Cold,0.3983
754,6.78,Cold,0.0678
755,48.07,Warm,0.4807
756,40.53,Warm,0.4053
757,71.68,Hot,0.7168
758,18.08,Cold,0.1808
759,33.85,Cold,0.3385
760,10.68,Cold,0.1068
761,50.5,Warm,0.505
762,13.98,Cold,0.1398
763,34.13,Cold,0.3413
764,17.14,Cold,0.1714
765,14.28,Cold,0.1428
766,78.83,Hot,0.7883
767,3.77,Cold,0.0377
768,75.69,Hot,0.7569
769,7.12,Cold,0.0712
770,3.01,Cold,0.0301
771,16.7,Cold,0.167
772,42.95,Warm,0.4295
773,15.63,Cold,0.1563
774,3.02,Cold,0.0302
775,75.25,Hot,0.7525
776,12.52,Cold,0.1252
777,62.05,Warm,0.6205
778,18.1,Cold,0.181
779,21.5,Cold,0.215
780,18.62,Cold,0.1862
781,13.28,Cold,0.1328
782,17.46,Cold,0.1746
783,70.55,Hot,0.7055
784,11.35,Cold,0.1135
785,68.82,Warm,0.6882
786,98.37,Hot,0.9837
787,9.43,Cold,0.0943
788,30.23,Cold,0.3023
789,9.34,Cold,0.0934
790,15.86,Cold,0.1586
791,64.02,Warm,0.6402
792,73.98,Hot,0.7398
793,11.72,Cold,0.1172
794,41.84,Warm,0.4184
795,83.67,Hot,0.8367
796,28.61,Cold,0.2861
797,6.69,Cold,0.0669
798,57.12,Warm,0.5712
799,90.25,Hot,0.9025
800,77.12,Hot,0.7712
801,19.64,Cold,0.1964
802,71.27,Hot,0.7127
803,32.07,Cold,0.3207
804,55.18,Warm,0.5518
805,89.28,Hot,0.8928
806,68.53,Warm,0.6853
807,17.14,Cold,0.1714
808,71.6,Hot,0.716
809,29.9,Cold,0.299
810,65.27,Warm,0.6527
811,58.06,Warm,0.5806
812,14.47,Cold,0.1447
813,18.19,Cold,0.1819
814,32.36,Cold,0.3236
815,16.71,Cold,0.1671
816,54.98,Warm,0.5498
817,44.92,Warm,0.4492
818,56.4,Warm,0.564
819,85.52,Hot,0.8552
820,22.99,Cold,0.2299
821,14.24,Cold,0.1424
822,20.66,Cold,0.2066
823,70.95,Hot,0.7095
824,30.68,Cold,0.3068
825,36.39,Cold,0.3639
826,16.64,Cold,0.1664
827,56.62,Warm,0.5662
828,4.0,Cold,0.04
829,83.29,Hot,0.8329
830,8.17,Cold,0.0817
831,83.03,Hot,0.8303
832,79.93,Hot,0.7993
833,13.5,Cold,0.135
834,80.69,Hot,0.8069
835,72.85,Hot,0.7285
836,71.28,Hot,0.7128
837,66.35,Warm,0.6635
838,10.87,Cold,0.1087
839,59.32,Warm,0.5932
840,56.04,Warm,0.5604
841,76.85,Hot,0.7685
842,72.49,Hot,0.7249
843,13.72,Cold,0.1372
844,30.29,Cold,0.3029
845,56.52,Warm,0.5652
846,78.0,Hot,0.78
847,85.6,Hot,0.856
848,35.57,Cold,0.3557
849,87.17,Hot,0.8717
850,46.07,Warm,0.4607
851,72.83,Hot,0.7283
852,65.35,Warm,0.6535
853,18.13,Cold,0.1813
854,33.97,Cold,0.3397
855,38.09,Cold,0.3809
856,15.09,Cold,0.1509
857,17.05,Cold,0.1705
858,44.04,Warm,0.4404
859,55.72,Warm,0.5572
860,20.38,Cold,0.2038
861,68.66,Warm,0.6866
862,31.46,Cold,0.3146
863,42.0,Warm,0.42
864,26.69,Cold,0.2669
865,73.83,Hot,0.7383
866,29.76,Cold,0.2976
867,98.99,Hot,0.9899
868,66.12,Warm,0.6612
869,17.52,Cold,0.1752
870,55.58,Warm,0.5558
871,16.09,Cold,0.1609
872,13.33,Cold,0.1333
873,60.46,Warm,0.6046
874,7.43,Cold,0.0743
875,16.57,Cold,0.1657
876,67.29,Warm,0.6729
877,6.41,Cold,0.0641
878,74.2,Hot,0.742
879,13.04,Cold,0.1304
880,72.82,Hot,0.7282
881,17.93,Cold,0.1793
882,71.1,Hot,0.711
883,33.9,Cold,0.339
884,16.09,Cold,0.1609
885,61.2,Warm,0.612
886,18.35,Cold,0.1835
887,20.52,Cold,0.2052
888,48.34,Warm,0.4834
889,92.05,Hot,0.9205
890,95.93,Hot,0.9593
891,84.89,Hot,0.8489
892,21.6,Cold,0.216
893,24.4,Cold,0.244
894,30.63,Cold,0.3063
895,80.43,Hot,0.8043
896,79.47,Hot,0.7947
897,56.31,Warm,0.5631
898,72.97,Hot,0.7297
899,51.32,Warm,0.5132
900,73.12,Hot,0.7312
901,80.43,Hot,0.8043
902,75.76,Hot,0.7576
903,18.19,Cold,0.1819
904,30.63,Cold,0.3063
905,80.64,Hot,0.8064
906,47.04,Warm,0.4704
907,10.61,Cold,0.1061
908,69.41,Warm,0.6941
909,78.52,Hot,0.7852
910,81.15,Hot,0.8115
911,19.79,Cold,0.1979
912,11.16,Cold,0.1116
913,70.97,Hot,0.7097
914,35.34,Cold,0.3534
915,14.35,Cold,0.1435
916,58.1,Warm,0.581
917,53.45,Warm,0.5345
918,30.36,Cold,0.3036
919,35.7,Cold,0.357
920,78.01,Hot,0.7801
921,16.65,Cold,0.1665
922,76.52,Hot,0.7652
923,40.53,Warm,0.4053
924,10.84,Cold,0.1084
925,67.63,Warm,0.6763
926,17.14,Cold,0.1714
927,36.13,Cold,0.3613
928,7.6,Cold,0.076
929,39.66,Cold,0.3966
930,8.12,Cold,0.0812
931,17.45,Cold,0.1745
932,86.75,Hot,0.8675
933,18.66,Cold,0.1866
934,41.48,Warm,0.4148
935,8.29,Cold,0.0829
